Time (s),Event,Eff.Win. (MSS),cwnd (MSS),RTT (s),sRTT (s),TOut (s)
1.00,SEND SEGMENT,1.0,1.0,"10,0","10,0","10,0"
3.01,ACK RECEIVED,0.0,1.0,"10,0","10,0","10,0"
4.02,SEND SEGMENT,3.0,2.0,"2,009717","8,4019434","16,8038868"
5.03,SEND SEGMENT,2.0,2.0,"2,009717","8,4019434","16,8038868"
6.03,ACK RECEIVED,1.0,2.0,"2,009717","8,4019434","16,8038868"
6.03,SEND SEGMENT,3.0,3.0,"2,004166","7,12238792","14,24477584"
7.04,SEND SEGMENT,2.0,3.0,"2,004166","7,12238792","14,24477584"
8.03,ACK RECEIVED,1.0,3.0,"2,004166","7,12238792","14,24477584"
8.04,SEND SEGMENT,1.0,3.0,"2,004166","7,12238792","14,24477584"
10.04,ACK RECEIVED,0.0,3.0,"2,004166","7,12238792","14,24477584"
12.04,ACK RECEIVED,0.0,3.0,"2,004166","7,12238792","14,24477584"
14.04,ACK RECEIVED,0.0,3.0,"2,004166","7,12238792","14,24477584"
16.04,ACK RECEIVED,0.0,3.0,"2,004166","7,12238792","14,24477584"
18.04,ACK RECEIVED,0.0,3.0,"2,004166","7,12238792","14,24477584"
20.05,ACK RECEIVED,0.0,3.0,"2,004166","7,12238792","14,24477584"
22.05,ACK RECEIVED,0.0,1.0,"2,004166","7,12238792","14,24477584"
22.89,ACK RECEIVED,0.0,1.0,"2,004166","7,12238792","14,24477584"
23.90,SEND SEGMENT,1.0,1.0,"2,004166","7,12238792","14,24477584"
25.91,ACK RECEIVED,0.0,1.0,"2,004166","7,12238792","14,24477584"
26.94,SEND SEGMENT,3.0,2.0,"2,016319","6,101174136000001","12,202348272000002"
27.91,ACK RECEIVED,2.0,2.0,"2,016319","6,101174136000001","12,202348272000002"
27.98,SEND SEGMENT,2.0,2.0,"2,016319","6,101174136000001","12,202348272000002"
28.98,SEND SEGMENT,1.0,2.0,"2,016319","6,101174136000001","12,202348272000002"
29.91,ACK RECEIVED,0.0,2.0,"2,016319","6,101174136000001","12,202348272000002"
31.91,ACK RECEIVED,0.0,2.0,"2,016319","6,101174136000001","12,202348272000002"
33.92,ACK RECEIVED,0.0,2.0,"2,016319","6,101174136000001","12,202348272000002"
35.92,ACK RECEIVED,0.0,2.0,"2,016319","6,101174136000001","12,202348272000002"
37.92,ACK RECEIVED,0.0,2.0,"2,016319","6,101174136000001","12,202348272000002"
39.92,ACK RECEIVED,0.0,2.0,"2,016319","6,101174136000001","12,202348272000002"
40.22,ACK RECEIVED,0.0,2.0,"2,016319","6,101174136000001","12,202348272000002"
41.25,SEND SEGMENT,2.0,1.0,"11,248096","7,130558508800001","14,261117017600002"
42.25,SEND SEGMENT,1.0,1.0,"11,248096","7,130558508800001","14,261117017600002"
43.25,ACK RECEIVED,0.0,1.0,"11,248096","7,130558508800001","14,261117017600002"
44.29,SEND SEGMENT,2.0,2.0,"2,018223","6,108091407040001","12,216182814080002"
45.25,ACK RECEIVED,1.0,2.0,"2,018223","6,108091407040001","12,216182814080002"
45.29,SEND SEGMENT,1.0,2.0,"2,018223","6,108091407040001","12,216182814080002"
47.26,ACK RECEIVED,0.0,2.0,"2,018223","6,108091407040001","12,216182814080002"
49.26,ACK RECEIVED,0.0,2.0,"2,018223","6,108091407040001","12,216182814080002"
51.26,ACK RECEIVED,0.0,2.0,"2,018223","6,108091407040001","12,216182814080002"
53.26,ACK RECEIVED,0.0,2.0,"2,018223","6,108091407040001","12,216182814080002"
55.26,ACK RECEIVED,0.0,2.0,"2,018223","6,108091407040001","12,216182814080002"
57.27,ACK RECEIVED,0.0,2.0,"2,018223","6,108091407040001","12,216182814080002"
57.57,ACK RECEIVED,0.0,2.0,"2,018223","6,108091407040001","12,216182814080002"
