|Time (s)|Event|Eff.Win. (MSS)|cwnd (MSS)|RTT (s)|sRTT (s)|TOut (s)
|--------|-----|--------------|----------|-------|--------|-------|
1.00|Datagram 1 sent 	|1 	|1 	|10.00 	|10.00 	|10.00 	
2.00|Datagram 2 sent 	|1 	|1 	|10.00 	|10.00 	|10.00 	
3.01|Datagram 3 sent 	|1 	|1 	|10.00 	|10.00 	|10.00 	
4.01|Datagram 4 sent 	|1 	|1 	|10.00 	|10.00 	|10.00 	
5.01|Datagram 5 sent 	|1 	|1 	|10.00 	|10.00 	|10.00 	
6.01|Datagram 6 sent 	|1 	|1 	|10.00 	|10.00 	|10.00 	
7.02|Datagram 7 sent 	|1 	|1 	|10.00 	|10.00 	|10.00 	
8.02|Datagram 8 sent 	|1 	|1 	|10.00 	|10.00 	|10.00 	
9.02|Datagram 9 sent 	|1 	|1 	|10.00 	|10.00 	|10.00 	
10.02|Datagram 10 sent 	|1 	|1 	|10.00 	|10.00 	|10.00 	
11.01|TimeOut: 1 	|1 	|1 	|10.00 	|10.00 	|10.00 	
11.02|Datagram 11 sent 	|1 	|1 	|10.00 	|10.00 	|10.00 	
12.01|Sent Retrans: 1 	|1 	|1 	|10.00 	|10.00 	|10.00 	
12.01|TimeOut: 2 	|1 	|1 	|10.00 	|10.00 	|10.00 	
12.03|Datagram 12 sent 	|-11 	|1 	|10.00 	|10.00 	|10.00 	
13.02|TimeOut: 3 	|-11 	|1 	|10.00 	|10.00 	|10.00 	
13.03|Sent Retrans: 2 	|-11 	|1 	|10.00 	|10.00 	|10.00 	
14.03|TimeOut: 4 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
14.05|Sent Retrans: 3 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
15.03|TimeOut: 5 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
15.08|Sent Retrans: 4 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
16.03|TimeOut: 6 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
16.07|Sent Retrans: 5 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
17.04|TimeOut: 7 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
17.07|Sent Retrans: 6 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
18.04|TimeOut: 8 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
18.08|Sent Retrans: 7 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
19.04|TimeOut: 9 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
19.08|Sent Retrans: 8 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
20.04|TimeOut: 10 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
20.09|Sent Retrans: 9 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
21.04|TimeOut: 11 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
21.08|Sent Retrans: 10 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
22.03|TimeOut: 1 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
22.04|TimeOut: 12 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
22.07|Sent Retrans: 11 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
23.06|Sent Retrans: 1 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
23.06|Sent Retrans: 12 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
23.09|TimeOut: 2 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
24.09|TimeOut: 3 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
24.11|Sent Retrans: 2 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
25.13|TimeOut: 4 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
25.16|Sent Retrans: 3 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
26.13|TimeOut: 5 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
26.17|Sent Retrans: 4 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
27.13|TimeOut: 6 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
27.17|Sent Retrans: 5 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
28.12|TimeOut: 7 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
28.17|Sent Retrans: 6 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
29.14|TimeOut: 8 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
29.18|Sent Retrans: 7 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
30.14|TimeOut: 9 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
30.19|Sent Retrans: 8 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
31.13|TimeOut: 10 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
31.19|Sent Retrans: 9 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
32.12|TimeOut: 11 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
32.17|Sent Retrans: 10 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
33.08|TimeOut: 1 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
33.11|TimeOut: 12 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
33.16|Sent Retrans: 11 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
34.09|Sent Retrans: 1 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
34.14|Sent Retrans: 12 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
34.17|TimeOut: 2 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
35.20|TimeOut: 3 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
35.23|Sent Retrans: 2 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
36.23|TimeOut: 4 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
36.26|Sent Retrans: 3 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
37.21|TimeOut: 5 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
37.27|Sent Retrans: 4 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
38.22|TimeOut: 6 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
38.26|Sent Retrans: 5 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
39.23|TimeOut: 7 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
39.25|Sent Retrans: 6 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
40.26|Sent Retrans: 7 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
40.25|TimeOut: 8 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
41.23|TimeOut: 9 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
41.31|Sent Retrans: 8 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
42.22|TimeOut: 10 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
42.27|Sent Retrans: 9 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
43.20|TimeOut: 11 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
43.27|Sent Retrans: 10 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
44.11|TimeOut: 1 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
44.19|TimeOut: 12 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
44.24|Sent Retrans: 11 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
45.13|Sent Retrans: 1 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
45.22|Sent Retrans: 12 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
45.27|TimeOut: 2 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
46.31|TimeOut: 3 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
46.34|Sent Retrans: 2 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
47.34|TimeOut: 4 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
47.35|Sent Retrans: 3 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
48.30|TimeOut: 5 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
48.38|Sent Retrans: 4 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
49.31|TimeOut: 6 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
49.32|Sent Retrans: 5 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
50.30|TimeOut: 7 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
50.35|Sent Retrans: 6 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
51.34|Sent Retrans: 7 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
51.37|TimeOut: 8 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
52.32|TimeOut: 9 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
52.40|Sent Retrans: 8 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
53.32|TimeOut: 10 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
53.37|Sent Retrans: 9 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
54.30|TimeOut: 11 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
54.35|Sent Retrans: 10 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
55.18|TimeOut: 1 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
55.27|TimeOut: 12 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
55.35|Sent Retrans: 11 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
56.21|Sent Retrans: 1 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
56.30|Sent Retrans: 12 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
56.38|TimeOut: 2 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
57.38|TimeOut: 3 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
57.41|Sent Retrans: 2 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
58.41|Sent Retrans: 3 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
58.42|TimeOut: 4 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
59.36|TimeOut: 5 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
59.46|Sent Retrans: 4 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
60.40|TimeOut: 6 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
60.43|Sent Retrans: 5 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
61.39|TimeOut: 7 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
61.44|Sent Retrans: 6 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
62.43|Sent Retrans: 7 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
62.46|TimeOut: 8 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
63.42|TimeOut: 9 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
