ffplay version 4.2.4-1ubuntu0.1 Copyright (c) 2003-2020 the FFmpeg developers
  built with gcc 9 (Ubuntu 9.3.0-10ubuntu2)
  configuration: --prefix=/usr --extra-version=1ubuntu0.1 --toolchain=hardened --libdir=/usr/lib/x86_64-linux-gnu --incdir=/usr/include/x86_64-linux-gnu --arch=amd64 --enable-gpl --disable-stripping --enable-avresample --disable-filter=resample --enable-avisynth --enable-gnutls --enable-ladspa --enable-libaom --enable-libass --enable-libbluray --enable-libbs2b --enable-libcaca --enable-libcdio --enable-libcodec2 --enable-libflite --enable-libfontconfig --enable-libfreetype --enable-libfribidi --enable-libgme --enable-libgsm --enable-libjack --enable-libmp3lame --enable-libmysofa --enable-libopenjpeg --enable-libopenmpt --enable-libopus --enable-libpulse --enable-librsvg --enable-librubberband --enable-libshine --enable-libsnappy --enable-libsoxr --enable-libspeex --enable-libssh --enable-libtheora --enable-libtwolame --enable-libvidstab --enable-libvorbis --enable-libvpx --enable-libwavpack --enable-libwebp --enable-libx265 --enable-libxml2 --enable-libxvid --enable-libzmq --enable-libzvbi --enable-lv2 --enable-omx --enable-openal --enable-opencl --enable-opengl --enable-sdl2 --enable-libdc1394 --enable-libdrm --enable-libiec61883 --enable-nvenc --enable-chromaprint --enable-frei0r --enable-libx264 --enable-shared
  libavutil      56. 31.100 / 56. 31.100
  libavcodec     58. 54.100 / 58. 54.100
  libavformat    58. 29.100 / 58. 29.100
  libavdevice    58.  8.100 / 58.  8.100
  libavfilter     7. 57.100 /  7. 57.100
  libavresample   4.  0.  0 /  4.  0.  0
  libswscale      5.  5.100 /  5.  5.100
  libswresample   3.  5.100 /  3.  5.100
  libpostproc    55.  5.100 / 55.  5.100
[hevc @ 0x7f4ab80083c0] Unknown HEVC profile: 0
    Last message repeated 1 times
    nan    :  0.000 fd=   0 aq=    0KB vq=    0KB sq=    0B f=0/0   
[hevc @ 0x7f4ab80083c0] Unknown HEVC profile: 0
    Last message repeated 1 times
    nan    :  0.000 fd=   0 aq=    0KB vq=    0KB sq=    0B f=0/0   
    nan    :  0.000 fd=   0 aq=    0KB vq=    0KB sq=    0B f=0/0   
    nan    :  0.000 fd=   0 aq=    0KB vq=    0KB sq=    0B f=0/0   
    nan    :  0.000 fd=   0 aq=    0KB vq=    0KB sq=    0B f=0/0   
    nan    :  0.000 fd=   0 aq=    0KB vq=    0KB sq=    0B f=0/0   
    nan    :  0.000 fd=   0 aq=    0KB vq=    0KB sq=    0B f=0/0   
    nan    :  0.000 fd=   0 aq=    0KB vq=    0KB sq=    0B f=0/0   
    nan    :  0.000 fd=   0 aq=    0KB vq=    0KB sq=    0B f=0/0   
    nan    :  0.000 fd=   0 aq=    0KB vq=    0KB sq=    0B f=0/0   
    nan    :  0.000 fd=   0 aq=    0KB vq=    0KB sq=    0B f=0/0   
    nan    :  0.000 fd=   0 aq=    0KB vq=    0KB sq=    0B f=0/0   
    nan    :  0.000 fd=   0 aq=    0KB vq=    0KB sq=    0B f=0/0   
    nan    :  0.000 fd=   0 aq=    0KB vq=    0KB sq=    0B f=0/0   
    nan    :  0.000 fd=   0 aq=    0KB vq=    0KB sq=    0B f=0/0   
    nan    :  0.000 fd=   0 aq=    0KB vq=    0KB sq=    0B f=0/0   
    nan    :  0.000 fd=   0 aq=    0KB vq=    0KB sq=    0B f=0/0   
    nan    :  0.000 fd=   0 aq=    0KB vq=    0KB sq=    0B f=0/0   
    nan    :  0.000 fd=   0 aq=    0KB vq=    0KB sq=    0B f=0/0   
    nan    :  0.000 fd=   0 aq=    0KB vq=    0KB sq=    0B f=0/0   
    nan    :  0.000 fd=   0 aq=    0KB vq=    0KB sq=    0B f=0/0   
    nan    :  0.000 fd=   0 aq=    0KB vq=    0KB sq=    0B f=0/0   
    nan    :  0.000 fd=   0 aq=    0KB vq=    0KB sq=    0B f=0/0   
    nan    :  0.000 fd=   0 aq=    0KB vq=    0KB sq=    0B f=0/0   
    nan    :  0.000 fd=   0 aq=    0KB vq=    0KB sq=    0B f=0/0   
    nan    :  0.000 fd=   0 aq=    0KB vq=    0KB sq=    0B f=0/0   
    nan    :  0.000 fd=   0 aq=    0KB vq=    0KB sq=    0B f=0/0   
    nan    :  0.000 fd=   0 aq=    0KB vq=    0KB sq=    0B f=0/0   
    nan    :  0.000 fd=   0 aq=    0KB vq=    0KB sq=    0B f=0/0   
    nan    :  0.000 fd=   0 aq=    0KB vq=    0KB sq=    0B f=0/0   
    nan    :  0.000 fd=   0 aq=    0KB vq=    0KB sq=    0B f=0/0   
    nan    :  0.000 fd=   0 aq=    0KB vq=    0KB sq=    0B f=0/0   
Input #0, sdp, from 's.sdp':
  Metadata:
    title           : No Name
  Duration: N/A, start: 0.208333, bitrate: N/A
    nan    :  0.000 fd=   0 aq=    0KB vq=    0KB sq=    0B f=0/0   
    Stream #0:0: Video: hevc, yuv420p(tv), 640x360, 24 fps, 24 tbr, 90k tbn, 90k tbc
[hevc @ 0x7f4ab804ac40] Unknown HEVC profile: 0
    Last message repeated 1 times
[hevc @ 0x7f4ab804a040] Could not find ref with POC 32
   0.11 M-V: -0.000 fd=   0 aq=    0KB vq=   14KB sq=    0B f=0/0   
   0.15 M-V:  0.000 fd=   0 aq=    0KB vq=   14KB sq=    0B f=0/0   
   0.18 M-V:  0.000 fd=   0 aq=    0KB vq=   14KB sq=    0B f=0/0   
   0.21 M-V:  0.000 fd=   0 aq=    0KB vq=   19KB sq=    0B f=0/0   
   0.24 M-V:  0.000 fd=   0 aq=    0KB vq=   18KB sq=    0B f=0/0   
   0.27 M-V:  0.000 fd=   0 aq=    0KB vq=   13KB sq=    0B f=0/0   
   0.30 M-V:  0.000 fd=   0 aq=    0KB vq=   14KB sq=    0B f=0/0   
   0.33 M-V:  0.000 fd=   0 aq=    0KB vq=   15KB sq=    0B f=0/0   
   0.36 M-V:  0.000 fd=   0 aq=    0KB vq=   15KB sq=    0B f=0/0   
   0.40 M-V:  0.000 fd=   0 aq=    0KB vq=   14KB sq=    0B f=0/0   
   0.43 M-V:  0.000 fd=   0 aq=    0KB vq=   21KB sq=    0B f=0/0   
   0.46 M-V:  0.000 fd=   0 aq=    0KB vq=   22KB sq=    0B f=0/0   
   0.49 M-V:  0.000 fd=   0 aq=    0KB vq=   21KB sq=    0B f=0/0   
   0.52 M-V:  0.000 fd=   0 aq=    0KB vq=   22KB sq=    0B f=0/0   
   0.55 M-V:  0.000 fd=   0 aq=    0KB vq=   26KB sq=    0B f=0/0   
   0.58 M-V:  0.000 fd=   0 aq=    0KB vq=   28KB sq=    0B f=0/0   
   0.61 M-V:  0.000 fd=   0 aq=    0KB vq=   22KB sq=    0B f=0/0   
   0.65 M-V:  0.000 fd=   0 aq=    0KB vq=   22KB sq=    0B f=0/0   
   0.68 M-V:  0.000 fd=   0 aq=    0KB vq=   22KB sq=    0B f=0/0   
   0.71 M-V:  0.000 fd=   0 aq=    0KB vq=   22KB sq=    0B f=0/0   
   0.74 M-V:  0.000 fd=   0 aq=    0KB vq=   27KB sq=    0B f=0/0   
   0.77 M-V:  0.000 fd=   0 aq=    0KB vq=   17KB sq=    0B f=0/0   
   0.80 M-V:  0.000 fd=   0 aq=    0KB vq=   17KB sq=    0B f=0/0   
   0.83 M-V:  0.000 fd=   0 aq=    0KB vq=   18KB sq=    0B f=0/0   
   0.86 M-V:  0.001 fd=   0 aq=    0KB vq=   17KB sq=    0B f=0/0   
   0.90 M-V:  0.000 fd=   0 aq=    0KB vq=   22KB sq=    0B f=0/0   
   0.93 M-V:  0.000 fd=   0 aq=    0KB vq=   18KB sq=    0B f=0/0   
   0.96 M-V:  0.000 fd=   0 aq=    0KB vq=   18KB sq=    0B f=0/0   
   0.99 M-V:  0.001 fd=   0 aq=    0KB vq=   17KB sq=    0B f=0/0   
   1.02 M-V:  0.001 fd=   0 aq=    0KB vq=   17KB sq=    0B f=0/0   
   1.05 M-V:  0.001 fd=   0 aq=    0KB vq=   22KB sq=    0B f=0/0   
   1.08 M-V:  0.001 fd=   0 aq=    0KB vq=   23KB sq=    0B f=0/0   
   1.11 M-V:  0.001 fd=   0 aq=    0KB vq=   18KB sq=    0B f=0/0   
   1.15 M-V:  0.001 fd=   0 aq=    0KB vq=    9KB sq=    0B f=0/0   
   1.18 M-V:  0.001 fd=   0 aq=    0KB vq=    9KB sq=    0B f=0/0   
   1.21 M-V:  0.001 fd=   0 aq=    0KB vq=    9KB sq=    0B f=0/0   
   1.24 M-V:  0.001 fd=   0 aq=    0KB vq=   15KB sq=    0B f=0/0   
   1.27 M-V:  0.001 fd=   0 aq=    0KB vq=   15KB sq=    0B f=0/0   
   1.30 M-V:  0.001 fd=   0 aq=    0KB vq=   16KB sq=    0B f=0/0   
   1.33 M-V:  0.001 fd=   0 aq=    0KB vq=   16KB sq=    0B f=0/0   
   1.36 M-V:  0.001 fd=   0 aq=    0KB vq=   16KB sq=    0B f=0/0   
   1.40 M-V:  0.001 fd=   0 aq=    0KB vq=   23KB sq=    0B f=0/0   
   1.43 M-V:  0.001 fd=   0 aq=    0KB vq=   17KB sq=    0B f=0/0   
   1.46 M-V:  0.001 fd=   0 aq=    0KB vq=   18KB sq=    0B f=0/0   
   1.49 M-V:  0.001 fd=   0 aq=    0KB vq=   17KB sq=    0B f=0/0   
   1.52 M-V:  0.001 fd=   0 aq=    0KB vq=   16KB sq=    0B f=0/0   
   1.55 M-V:  0.001 fd=   0 aq=    0KB vq=   23KB sq=    0B f=0/0   
   1.58 M-V:  0.001 fd=   0 aq=    0KB vq=   23KB sq=    0B f=0/0   
   1.61 M-V:  0.001 fd=   0 aq=    0KB vq=   16KB sq=    0B f=0/0   
   1.65 M-V:  0.001 fd=   0 aq=    0KB vq=   16KB sq=    0B f=0/0   
   1.68 M-V:  0.001 fd=   0 aq=    0KB vq=   16KB sq=    0B f=0/0   
   1.71 M-V:  0.001 fd=   0 aq=    0KB vq=   16KB sq=    0B f=0/0   
   1.74 M-V:  0.001 fd=   0 aq=    0KB vq=   16KB sq=    0B f=0/0   
   1.77 M-V:  0.001 fd=   0 aq=    0KB vq=   25KB sq=    0B f=0/0   
   1.80 M-V:  0.001 fd=   0 aq=    0KB vq=   25KB sq=    0B f=0/0   
   1.83 M-V:  0.001 fd=   0 aq=    0KB vq=   26KB sq=    0B f=0/0   
   1.86 M-V:  0.001 fd=   0 aq=    0KB vq=   25KB sq=    0B f=0/0   
   1.90 M-V:  0.001 fd=   0 aq=    0KB vq=   33KB sq=    0B f=0/0   
   1.93 M-V:  0.001 fd=   0 aq=    0KB vq=   26KB sq=    0B f=0/0   
   1.96 M-V:  0.001 fd=   0 aq=    0KB vq=   27KB sq=    0B f=0/0   
   1.99 M-V:  0.001 fd=   0 aq=    0KB vq=   27KB sq=    0B f=0/0   
   2.02 M-V:  0.001 fd=   0 aq=    0KB vq=   26KB sq=    0B f=0/0   
   2.05 M-V:  0.001 fd=   0 aq=    0KB vq=   26KB sq=    0B f=0/0   
   2.08 M-V:  0.001 fd=   0 aq=    0KB vq=   35KB sq=    0B f=0/0   
   2.12 M-V:  0.001 fd=   0 aq=    0KB vq=   20KB sq=    0B f=0/0   
   2.15 M-V:  0.001 fd=   0 aq=    0KB vq=   19KB sq=    0B f=0/0   
   2.18 M-V:  0.001 fd=   0 aq=    0KB vq=   19KB sq=    0B f=0/0   
   2.21 M-V:  0.001 fd=   0 aq=    0KB vq=   19KB sq=    0B f=0/0   
   2.24 M-V:  0.001 fd=   0 aq=    0KB vq=   27KB sq=    0B f=0/0   
   2.27 M-V:  0.001 fd=   0 aq=    0KB vq=   20KB sq=    0B f=0/0   
   2.30 M-V:  0.001 fd=   0 aq=    0KB vq=   20KB sq=    0B f=0/0   
   2.33 M-V:  0.001 fd=   0 aq=    0KB vq=   20KB sq=    0B f=0/0   
   2.37 M-V:  0.001 fd=   0 aq=    0KB vq=   20KB sq=    0B f=0/0   
   2.40 M-V:  0.001 fd=   0 aq=    0KB vq=   28KB sq=    0B f=0/0   
   2.43 M-V:  0.001 fd=   0 aq=    0KB vq=   21KB sq=    0B f=0/0   
   2.46 M-V:  0.001 fd=   0 aq=    0KB vq=   21KB sq=    0B f=0/0   
   2.49 M-V:  0.001 fd=   0 aq=    0KB vq=   21KB sq=    0B f=0/0   
   2.52 M-V:  0.001 fd=   0 aq=    0KB vq=   21KB sq=    0B f=0/0   
   2.55 M-V:  0.001 fd=   0 aq=    0KB vq=   20KB sq=    0B f=0/0   
   2.58 M-V:  0.001 fd=   0 aq=    0KB vq=   30KB sq=    0B f=0/0   
   2.62 M-V:  0.001 fd=   0 aq=    0KB vq=   21KB sq=    0B f=0/0   
   2.65 M-V:  0.001 fd=   0 aq=    0KB vq=   21KB sq=    0B f=0/0   
   2.68 M-V:  0.001 fd=   0 aq=    0KB vq=   21KB sq=    0B f=0/0   
   2.71 M-V:  0.001 fd=   0 aq=    0KB vq=   21KB sq=    0B f=0/0   
   2.74 M-V:  0.001 fd=   0 aq=    0KB vq=   30KB sq=    0B f=0/0   
   2.77 M-V:  0.001 fd=   0 aq=    0KB vq=   21KB sq=    0B f=0/0   
   2.80 M-V:  0.001 fd=   0 aq=    0KB vq=   21KB sq=    0B f=0/0   
   2.83 M-V:  0.001 fd=   0 aq=    0KB vq=   22KB sq=    0B f=0/0   
   2.87 M-V:  0.001 fd=   0 aq=    0KB vq=   21KB sq=    0B f=0/0   
   2.90 M-V:  0.001 fd=   0 aq=    0KB vq=   29KB sq=    0B f=0/0   
   2.93 M-V:  0.001 fd=   0 aq=    0KB vq=   21KB sq=    0B f=0/0   
   2.96 M-V:  0.001 fd=   0 aq=    0KB vq=   22KB sq=    0B f=0/0   
   2.99 M-V:  0.001 fd=   0 aq=    0KB vq=   21KB sq=    0B f=0/0   
   3.02 M-V:  0.002 fd=   0 aq=    0KB vq=   21KB sq=    0B f=0/0   
   3.05 M-V:  0.002 fd=   0 aq=    0KB vq=   20KB sq=    0B f=0/0   
   3.08 M-V:  0.002 fd=   0 aq=    0KB vq=   20KB sq=    0B f=0/0   
   3.12 M-V:  0.002 fd=   0 aq=    0KB vq=   12KB sq=    0B f=0/0   
   3.15 M-V:  0.002 fd=   0 aq=    0KB vq=   11KB sq=    0B f=0/0   
   3.18 M-V:  0.002 fd=   0 aq=    0KB vq=   34KB sq=    0B f=0/0   
   3.21 M-V:  0.002 fd=   0 aq=    0KB vq=   34KB sq=    0B f=0/0   
   3.24 M-V:  0.002 fd=   0 aq=    0KB vq=   42KB sq=    0B f=0/0   
   3.27 M-V:  0.002 fd=   0 aq=    0KB vq=   33KB sq=    0B f=0/0   
   3.30 M-V:  0.002 fd=   0 aq=    0KB vq=   33KB sq=    0B f=0/0   
