time,bytes,rate
6.766130000,70.0,10
7.778267000,106948,105665
8.798656000,39808,39012
9.800371000,91011,90855
10.801120000,61306,61260
11.801869000,53212,53172
12.803596000,92517,92357
13.804069000,38608,38589
14.806082000,77967,77810
15.806938000,63206,63151
16.809116000,99578,99361
17.819553000,47821,47327
18.821736000,100190,99971
19.841823000,40675,39874
20.842032000,61951,61938
21.842472000,86324,86286
22.852010000,28329,28061
23.863311000,99779,98663
24.886886000,83389,81468
25.897482000,53958,53392
26.928880000,68152,66077
27.929416000,26418,26403
28.931206000,89064,88904
29.931238000,27324,27323
30.941971000,51730,51180
31.943626000,100177,100011
32.955618000,100919,99723
33.957406000,100167,99988
34.958673000,98998,98872
35.960901000,100930,100705
36.963222000,100885,100651
37.965468000,99673,99449
38.977154000,101795,100619
39.979169000,100262,100060
40.991147000,100297,99109
41.993013000,99923,99736
42.995528000,101315,101060
43.997342000,100510,100328
44.999538000,99131,98913
46.002179000,101560,101292
47.004116000,99018,98826
48.006500000,100897,100657
49.008665000,99383,99168
50.010624000,100162,99966
51.022526000,97335,96190
52.024297000,98429,98254
53.045358000,55479,54334
54.046934000,82628,82497
55.048344000,66351,66257
56.059077000,59357,58726
57.061555000,99849,99602
58.063418000,80303,80153
59.066191000,85832,85594
60.067632000,95919,95780
61.078487000,51796,51239
62.080937000,100891,100644
63.083198000,99349,99124
64.085234000,101104,100898
65.087426000,99135,98918
66.098993000,93353,92285
67.101640000,100354,100089
68.122921000,70395,68928
69.134305000,72916,72095
70.145931000,101080,99918
71.148185000,100679,100452
72.150459000,99909,99682
73.162749000,101287,100057
74.164278000,99995,99842
75.166410000,99126,98915
76.167173000,80177,80115
77.169252000,98124,97920
78.171665000,102169,101923
79.173926000,99834,99608
80.175065000,73280,73196
81.186440000,93418,92367
82.188484000,99388,99185
83.190912000,91252,91030
84.203717000,101600,100315
85.204393000,53993,53956
86.206124000,83243,83099
87.208161000,100706,100501
88.210416000,93903,93691
89.222857000,100540,99304
90.234232000,64375,63650
91.245767000,81143,80217
92.258131000,87371,86303
93.289452000,71605,69430
94.290974000,98410,98260
95.292905000,77200,77051
96.304519000,88065,87053
97.305973000,99993,99847
98.315857000,46185,45732
99.317311000,99660,99515
100.329171000,75938,75047
101.340476000,68502,67736
102.342756000,100525,100296
103.353316000,60840,60204
104.355916000,100381,100120
105.366342000,46467,45987
106.378370000,99924,98736
107.410168000,66369,64323
108.410864000,75564,75511
109.423193000,101715,100476
110.433905000,49478,48953
111.444967000,87192,86238
112.445099000,37242,37237
113.446853000,70210,70087
114.459051000,92821,91702
115.470936000,100774,99590
116.471510000,47972,47944
117.483398000,101004,99817
118.485991000,100762,100501
119.498644000,100882,99621
120.500572000,100512,100318
121.502891000,98504,98276
122.505343000,101859,101609
123.517376000,86832,85799
124.519542000,64750,64610
125.531636000,100634,99431
126.533354000,87647,87496
127.545536000,100909,99694
128.567530000,81750,79990
129.578740000,67983,67229
130.610822000,77790,75371
131.611330000,46953,46929
132.613045000,97729,97561
133.614932000,86419,86256
134.625531000,66055,65362
135.637671000,100638,99430
136.648520000,63256,62577
137.650160000,90446,90297
138.651888000,92193,92033
139.654111000,84837,84648
140.657250000,99206,98895
141.657700000,72755,72722
142.658871000,100114,99996
143.660786000,100890,100697
144.663017000,100173,99950
145.675058000,99590,98405
146.677429000,101697,101456
147.689699000,100971,99747
148.702187000,100920,99675
149.704665000,76561,76371
150.706772000,99057,98848
151.718966000,90368,89279
152.721027000,100837,100629
153.723422000,99465,99227
154.724305000,71013,70950
155.726314000,99919,99718
156.726984000,44603,44573
157.729674000,98392,98128
158.730807000,58951,58884
159.742588000,63998,63252
160.764488000,68220,66757
161.764833000,32146,32134
162.766568000,91465,91306
163.767295000,57367,57325
164.768877000,101438,101277
165.780301000,100966,99825
166.792363000,100807,99605
167.794790000,100355,100112
168.797089000,100409,100178
169.809445000,101445,100206
170.812141000,98637,98371
171.813805000,102110,101940
172.825468000,94084,92999
173.827033000,51240,51159
174.830070000,98792,98492
175.851568000,80655,78957
176.853473000,77708,77560
177.884664000,81457,78993
178.884860000,44337,44328
179.886575000,99793,99622
