time,bytes,rate
6.637535000,70.0,10
7.669265000,111060,107644
8.709191000,35807,34432
9.709755000,106953,106892
10.750116000,55223,53080
11.750770000,99370,99305
12.790932000,43871,42177
13.830951000,31316,30110
14.831596000,100624,100559
15.833050000,114726,114559
16.873199000,41752,40140
17.874586000,98269,98132
18.874772000,46512,46503
19.874782000,39176,39175
20.876541000,118836,118627
21.877744000,36519,36475
22.878151000,67271,67243
23.879595000,109850,109691
24.880168000,35003,34982
25.880983000,83326,83258
26.921265000,34366,33035
27.922106000,92065,91987
28.961947000,33047,31780
30.002007000,23324,22425
31.003720000,134631,134400
32.004320000,114623,114554
33.036872000,164792,159596
34.068126000,108431,105144
35.068907000,93660,93586
36.070682000,131528,131294
37.071070000,86703,86669
38.072839000,120764,120550
39.073163000,92289,92259
40.073792000,93513,93454
41.075866000,123048,122793
42.076130000,75113,75093
43.111605000,123138,118919
44.112001000,88758,88722
45.113333000,90596,90475
46.114655000,111611,111463
47.114982000,86047,86018
48.116182000,119265,119122
49.117389000,104541,104414
50.157555000,68360,65720
51.158969000,123674,123499
52.158982000,47486,47485
53.159881000,101408,101316
54.160166000,49985,49970
55.160600000,47498,47477
56.163258000,111823,111526
57.163696000,66433,66403
58.164246000,67642,67604
59.195665000,114584,111093
60.235601000,71965,69201
61.266580000,106198,103006
62.277145000,89432,88497
63.277695000,116743,116678
64.309606000,118078,114426
65.309694000,71395,71388
66.310882000,118834,118692
67.311454000,66309,66271
68.351310000,34698,33368
69.354854000,205066,204341
70.355455000,86769,86716
71.358516000,220962,220287
72.359408000,75828,75760
73.362302000,187740,187198
74.402730000,61569,59176
75.436536000,218697,211545
76.436652000,70655,70646
77.436736000,62399,62393
78.438002000,109549,109410
79.469278000,68357,66283
80.471674000,186233,185787
81.472999000,90897,90776
82.473196000,52606,52595
83.476646000,193852,193185
84.517063000,59481,57170
85.550618000,189217,183073
86.551424000,121193,121095
87.551640000,57767,57754
88.553256000,136268,136048
89.593183000,52253,50246
90.594462000,110457,110315
91.634700000,59590,57284
92.634804000,71345,71337
93.638145000,231451,230680
94.678087000,33716,32421
95.681092000,187025,186464
96.711275000,46403,45043
97.711509000,48466,48454
98.714841000,200757,200090
99.754906000,48499,46630
100.757887000,168172,167672
101.788486000,60489,58693
102.838738000,51744,49268
103.871930000,192057,185887
104.911345000,25187,24231
105.914842000,194940,194260
106.915280000,34333,34317
107.918446000,195947,195328
108.958825000,53174,51110
109.958897000,34504,34501
110.991146000,180111,174484
112.031088000,30658,29480
113.033193000,168041,167688
114.037395000,174450,173720
115.037458000,55864,55860
116.077563000,42850,41197
117.110445000,192067,185952
118.111216000,77512,77452
119.114237000,202590,201979
120.116563000,99236,99005
121.116696000,59687,59679
122.119635000,191332,190771
123.119801000,60514,60503
124.119936000,51129,51122
125.122051000,169385,169027
126.122289000,65989,65973
127.155104000,132515,128304
128.155402000,46972,46958
129.156532000,125366,125224
130.156613000,47649,47645
131.196699000,47597,45762
132.198939000,137374,137066
133.229116000,48410,46991
134.231109000,128391,128135
135.231279000,53114,53104
136.271183000,48837,46962
137.272751000,119676,119488
138.272926000,64203,64191
139.274604000,123579,123371
140.274976000,66826,66801
141.275778000,78484,78421
142.277221000,133882,133689
143.277570000,61159,61137
144.279561000,151821,151519
145.279950000,98708,98669
146.311286000,121052,117373
147.313269000,140945,140666
148.313562000,75837,75814
149.316515000,181102,180568
150.317084000,55024,54992
151.317487000,54822,54799
152.319540000,184745,184366
153.320072000,53133,53104
154.353895000,185679,179604
155.394149000,54274,52173
156.434341000,39529,38001
157.437412000,187700,187125
158.437554000,49949,49941
159.470192000,180445,174741
160.470199000,39954,39953
161.470244000,35830,35828
162.472854000,187341,186853
163.512982000,43932,42237
164.516024000,182707,182152
165.516657000,83342,83289
166.518448000,170262,169957
167.519517000,98831,98725
168.552426000,201064,194657
169.553950000,118093,117913
170.554582000,76588,76539
171.557198000,133850,133500
172.557334000,45493,45486
173.557786000,47535,47513
174.559387000,104930,104762
175.559454000,59399,59395
176.561135000,145864,145619
177.601379000,45088,43343
178.641553000,41169,39578
179.673224000,142192,137826
180.713356000,40895,39317
