time,bytes,rate
11.927926000,70.0,5
12.930131000,115516,115261
13.970172000,35298,33939
15.002389000,106920,103582
16.002783000,46056,46037
17.003088000,65394,65374
18.004765000,84877,84734
19.005365000,32805,32785
20.007699000,100480,100246
21.008339000,55580,55544
22.009691000,96443,96312
23.010119000,40358,40340
24.010903000,117468,117375
25.011552000,37882,37857
26.012730000,77091,77000
27.014346000,71184,71069
28.014578000,28329,28322
29.027287000,123750,122196
30.057681000,63132,61269
31.057948000,63042,63025
32.059315000,58745,58664
33.088293000,26741,25987
34.089607000,89064,88947
35.097141000,28838,28622
36.098035000,59300,59247
37.111234000,126361,124714
38.123921000,125781,124205
39.126331000,126034,125730
40.140081000,125278,123578
41.144003000,126713,126217
42.146715000,124659,124321
43.148272000,82086,81958
44.151042000,125880,125532
45.152633000,101777,101615
46.154429000,93717,93548
47.170562000,100975,99371
48.172057000,78927,78809
49.174639000,122555,122239
50.176176000,102979,102820
51.178631000,96415,96178
52.180450000,100331,100148
53.182074000,84646,84508
54.195215000,116491,114980
55.217103000,93304,91305
56.227700000,61145,60503
57.250134000,115642,113104
58.290357000,33157,31874
59.292563000,100303,100082
60.292914000,48942,48924
61.304436000,74798,73945
62.306850000,106404,106147
63.308320000,74461,74351
64.311125000,104183,103891
65.322466000,73291,72469
66.323276000,60855,60805
67.325450000,112935,112690
68.328757000,119491,119097
69.330972000,118267,118005
70.332511000,76780,76662
71.333748000,71940,71851
72.366747000,118636,114846
73.367661000,48391,48346
74.369201000,97468,97318
75.371893000,115956,115644
76.373870000,93373,93188
77.377092000,124690,124289
78.378973000,87736,87571
79.380710000,115775,115574
80.401784000,80936,79265
81.403361000,103151,102988
82.406699000,124598,124183
83.407067000,79626,79596
84.409895000,119951,119612
85.410857000,61730,61670
86.423562000,123434,121885
87.426768000,103917,103584
88.428209000,75756,75646
89.450750000,109253,106844
90.491150000,47418,45576
91.523248000,86144,83464
92.525476000,116632,116372
93.527529000,93093,92902
94.530418000,120058,119712
95.531038000,46099,46070
96.533464000,107207,106947
97.534385000,63088,63029
98.534800000,70994,70964
99.537120000,124556,124267
100.537999000,58327,58275
101.540469000,103205,102950
102.572942000,83426,80802
103.573523000,52154,52123
104.575237000,82101,81960
105.575393000,43088,43081
106.587418000,92420,91321
107.590253000,103975,103681
108.591105000,45230,45191
109.611799000,80005,78382
110.623887000,28438,28098
111.636127000,88398,87329
112.647212000,34179,33804
113.659682000,104200,102916
114.691933000,85221,82558
115.692460000,53577,53548
116.694593000,91947,91751
117.695344000,37941,37912
118.707382000,95036,93905
119.708205000,85251,85180
120.730276000,90313,88362
121.731156000,53891,53843
122.734338000,125570,125171
123.736314000,93629,93444
124.738583000,104645,104408
125.741138000,124591,124273
126.742619000,71183,71077
127.755941000,126297,124636
128.768119000,90955,89860
129.769072000,72739,72669
130.771787000,122327,121995
131.772250000,59898,59870
132.774740000,124595,124285
133.809346000,49020,47380
134.810893000,87625,87489
135.812243000,84914,84799
136.812389000,47663,47656
137.815113000,109670,109372
138.855307000,49215,47313
139.856363000,82463,82376
140.888731000,101034,97866
141.889450000,45382,45349
142.891406000,105251,105045
143.892061000,84353,84297
144.893885000,93676,93505
145.895750000,86865,86703
146.896601000,67624,67566
147.900139000,125432,124989
148.911734000,84690,83719
149.915757000,110028,109587
150.919188000,127161,126726
151.922159000,119400,119046
152.925434000,125199,124790
153.926429000,73558,73484
154.927313000,65410,65352
155.939433000,95823,94675
156.940527000,57975,57911
157.943691000,124702,124308
158.974624000,69179,67103
159.976012000,89537,89412
160.976458000,49246,49224
161.988209000,45323,44796
162.991160000,125644,125274
164.013469000,68877,67373
165.014868000,79407,79296
166.015081000,43682,43672
167.015095000,32741,32740
168.017316000,105797,105562
169.027701000,53755,53202
170.029439000,126184,125965
171.031636000,124471,124198
172.034297000,118541,118226
173.037955000,125962,125502
174.041606000,125703,125245
175.044556000,124632,124265
176.047536000,126245,125869
177.050165000,109658,109370
178.084741000,61163,59118
179.094600000,61393,60793
180.126462000,88790,86048
181.128233000,53734,53639
182.140495000,103046,101797
183.173299000,95670,92631
184.173689000,49579,49559
185.176332000,125104,124774
